Link ID: _y1148, 出現回数: 8, current_velocityが0の割合: 0.12
Link ID: _y901, 出現回数: 7, current_velocityが0の割合: 0.57
Link ID: _y247, 出現回数: 7, current_velocityが0の割合: 0.71
Link ID: _y154, 出現回数: 7, current_velocityが0の割合: 0.57
Link ID: _y287, 出現回数: 6, current_velocityが0の割合: 0.50
Link ID: _y766, 出現回数: 6, current_velocityが0の割合: 0.17
Link ID: _y858, 出現回数: 6, current_velocityが0の割合: 0.50
Link ID: _y1116, 出現回数: 5, current_velocityが0の割合: 0.40
Link ID: _y613, 出現回数: 5, current_velocityが0の割合: 0.20
Link ID: _y253, 出現回数: 5, current_velocityが0の割合: 0.80
Link ID: _y451, 出現回数: 5, current_velocityが0の割合: 0.40
Link ID: _y607, 出現回数: 5, current_velocityが0の割合: 0.40
Link ID: _y195, 出現回数: 4, current_velocityが0の割合: 0.25
Link ID: _y519, 出現回数: 4, current_velocityが0の割合: 0.25
Link ID: _y246, 出現回数: 4, current_velocityが0の割合: 0.25
Link ID: _y228, 出現回数: 4, current_velocityが0の割合: 0.50
Link ID: _y316, 出現回数: 4, current_velocityが0の割合: 0.50
Link ID: _y672, 出現回数: 4, current_velocityが0の割合: 0.50
Link ID: _y216, 出現回数: 4, current_velocityが0の割合: 0.25
Link ID: _y771, 出現回数: 3, current_velocityが0の割合: 0.33
Link ID: _y206, 出現回数: 3, current_velocityが0の割合: 0.67
Link ID: _y208, 出現回数: 2, current_velocityが0の割合: 0.50
Link ID: _y637, 出現回数: 2, current_velocityが0の割合: 1.00
Link ID: _y1084, 出現回数: 1, current_velocityが0の割合: 1.00
