Link ID: _y044, current_velocityが0の割合: 0.04, 出現回数: 394
Link ID: _y419, current_velocityが0の割合: 0.04, 出現回数: 3428
Link ID: _y946, current_velocityが0の割合: 0.04, 出現回数: 671
Link ID: _y519, current_velocityが0の割合: 0.04, 出現回数: 24
Link ID: _y258, current_velocityが0の割合: 0.04, 出現回数: 757
Link ID: _y1092, current_velocityが0の割合: 0.04, 出現回数: 99
Link ID: _y693, current_velocityが0の割合: 0.04, 出現回数: 326
Link ID: _y1051, current_velocityが0の割合: 0.04, 出現回数: 685
Link ID: _y485, current_velocityが0の割合: 0.03, 出現回数: 1376
Link ID: _y033, current_velocityが0の割合: 0.03, 出現回数: 1661
Link ID: _y330, current_velocityが0の割合: 0.03, 出現回数: 209
Link ID: _y300, current_velocityが0の割合: 0.03, 出現回数: 270
Link ID: _y611, current_velocityが0の割合: 0.03, 出現回数: 4839
Link ID: _y069, current_velocityが0の割合: 0.03, 出現回数: 31
Link ID: _y425, current_velocityが0の割合: 0.03, 出現回数: 2714
Link ID: _y192, current_velocityが0の割合: 0.03, 出現回数: 73
Link ID: _y147, current_velocityが0の割合: 0.03, 出現回数: 567
Link ID: _y229, current_velocityが0の割合: 0.03, 出現回数: 229
Link ID: _y505, current_velocityが0の割合: 0.03, 出現回数: 860
Link ID: _y690, current_velocityが0の割合: 0.02, 出現回数: 1434
Link ID: _y508, current_velocityが0の割合: 0.02, 出現回数: 1897
Link ID: _y608, current_velocityが0の割合: 0.02, 出現回数: 830
Link ID: _y569, current_velocityが0の割合: 0.02, 出現回数: 3250
Link ID: _y400, current_velocityが0の割合: 0.02, 出現回数: 4201
Link ID: _y460, current_velocityが0の割合: 0.02, 出現回数: 7767
Link ID: _y256, current_velocityが0の割合: 0.02, 出現回数: 253
Link ID: _y1148, current_velocityが0の割合: 0.02, 出現回数: 51
Link ID: _y1118, current_velocityが0の割合: 0.02, 出現回数: 1481
Link ID: _y936, current_velocityが0の割合: 0.02, 出現回数: 631
Link ID: _y906, current_velocityが0の割合: 0.02, 出現回数: 265
Link ID: _y202, current_velocityが0の割合: 0.02, 出現回数: 565
Link ID: _y730, current_velocityが0の割合: 0.02, 出現回数: 114
