Link ID: _y090, current_velocityが0の割合: 0.01, 出現回数: 335
Link ID: _y080, current_velocityが0の割合: 0.01, 出現回数: 116
Link ID: _y936, current_velocityが0の割合: 0.01, 出現回数: 622
Link ID: _y455, current_velocityが0の割合: 0.01, 出現回数: 631
Link ID: _y569, current_velocityが0の割合: 0.01, 出現回数: 1950
Link ID: _y360, current_velocityが0の割合: 0.01, 出現回数: 138
Link ID: _y440, current_velocityが0の割合: 0.01, 出現回数: 278
Link ID: _y433, current_velocityが0の割合: 0.01, 出現回数: 728
Link ID: _y091, current_velocityが0の割合: 0.01, 出現回数: 149
Link ID: _y429, current_velocityが0の割合: 0.01, 出現回数: 3042
Link ID: _y646, current_velocityが0の割合: 0.01, 出現回数: 2782
Link ID: _y229, current_velocityが0の割合: 0.01, 出現回数: 159
Link ID: _y472, current_velocityが0の割合: 0.01, 出現回数: 162
Link ID: _y788, current_velocityが0の割合: 0.01, 出現回数: 711
Link ID: _y202, current_velocityが0の割合: 0.01, 出現回数: 960
Link ID: _y567, current_velocityが0の割合: 0.00, 出現回数: 1719
Link ID: _y265, current_velocityが0の割合: 0.00, 出現回数: 650
Link ID: _y572, current_velocityが0の割合: 0.00, 出現回数: 1171
Link ID: _y180, current_velocityが0の割合: 0.00, 出現回数: 1679
Link ID: _y523, current_velocityが0の割合: 0.00, 出現回数: 503
Link ID: _y427, current_velocityが0の割合: 0.00, 出現回数: 509
Link ID: _y892, current_velocityが0の割合: 0.00, 出現回数: 777
Link ID: _y332, current_velocityが0の割合: 0.00, 出現回数: 278
Link ID: _y378, current_velocityが0の割合: 0.00, 出現回数: 289
Link ID: _y467, current_velocityが0の割合: 0.00, 出現回数: 1340
Link ID: _y649, current_velocityが0の割合: 0.00, 出現回数: 3558
Link ID: _y531, current_velocityが0の割合: 0.00, 出現回数: 370
Link ID: _y563, current_velocityが0の割合: 0.00, 出現回数: 2447
Link ID: _y079, current_velocityが0の割合: 0.00, 出現回数: 3347
Link ID: _y425, current_velocityが0の割合: 0.00, 出現回数: 531
Link ID: _y399, current_velocityが0の割合: 0.00, 出現回数: 1190
Link ID: _y664, current_velocityが0の割合: 0.00, 出現回数: 600
Link ID: _y041, current_velocityが0の割合: 0.00, 出現回数: 725
Link ID: _y189, current_velocityが0の割合: 0.00, 出現回数: 789
Link ID: _y499, current_velocityが0の割合: 0.00, 出現回数: 838
Link ID: _y687, current_velocityが0の割合: 0.00, 出現回数: 940
Link ID: _y000, current_velocityが0の割合: 0.00, 出現回数: 21
Link ID: _y015, current_velocityが0の割合: 0.00, 出現回数: 3
Link ID: _y022, current_velocityが0の割合: 0.00, 出現回数: 84
Link ID: _y024, current_velocityが0の割合: 0.00, 出現回数: 56
Link ID: _y025, current_velocityが0の割合: 0.00, 出現回数: 8
